y,x
74,51
72,54
59,53
60,53
61,53
62,53
63,53
64,53
65,53
66,53
67,53
53,52
54,52
55,52
49,51
50,51
46,50
43,49
40,55
42,56
44,57
45,57
48,58
49,58
52,59
53,59
54,59
55,59
58,60
59,60
60,60
61,60
62,60
63,60
64,60
65,60
66,60
67,60
68,60
78,61
79,56
79,54
80,54
81,54
82,54
83,54
86,57
90,53
90,52
90,51
89,51
89,50
88,50
88,49
87,49
86,49
86,48
85,48
84,48
84,47
84,46
85,46
85,45
86,45
87,45
88,45
89,45
90,45
91,45
92,45
93,45
94,45
95,45
96,45
97,45
98,45
99,45
100,45
101,45
102,45
86,46
87,46
88,46
89,46
90,46
91,46
92,46
93,46
94,46
95,46
96,46
97,46
98,46
99,46
100,46
101,46
101,47
101,48
101,49
101,50
101,51
101,52
101,53
101,54
101,55
101,56
102,56
102,55
102,54
102,53
102,52
102,51
102,50
102,49
102,48
102,47
102,46
85,47
87,48
91,52
91,53
91,54
92,54
92,55
92,56
93,56
93,57
93,58
93,59
94,59
95,59
96,59
94,58
95,58
96,58
97,58
98,58
99,58
99,57
100,57
101,57
102,57
100,58
101,58
102,58
93,55
92,53
87,59
87,60
87,61
85,62
83,63
81,64
79,65
81,70
81,71
80,71
80,72
79,72
78,72
78,73
77,73
76,73
76,74
75,74
75,75
76,75
76,76
77,76
78,76
78,77
79,77
80,77
80,78
81,78
81,79
82,79
83,79
83,80
84,80
85,80
86,80
86,81
87,81
88,81
88,82
89,82
89,81
89,80
89,79
90,79
90,78
90,77
91,77
91,76
92,76
93,76
92,77
96,81
96,82
96,83
95,83
95,84
96,84
97,84
98,84
99,84
99,85
100,85
101,85
102,85
100,84
101,84
102,84
97,83
97,82
97,81
97,80
98,80
98,79
99,79
99,78
100,78
101,78
102,78
100,79
101,79
101,80
101,81
101,82
101,83
102,83
102,82
102,81
102,80
102,79
99,80
91,78
90,80
87,80
84,79
82,78
79,76
77,75
77,74
79,73
82,71
82,70
83,70
83,69
84,69
85,69
86,69
86,68
87,68
88,68
88,67
89,67
89,68
89,69
89,70
90,70
90,71
90,72
91,72
91,73
92,73
92,74
92,75
93,75
94,75
93,74
94,74
93,73
92,72
96,68
96,67
96,66
95,66
95,65
96,65
97,65
98,65
99,65
99,64
100,64
101,64
102,64
100,65
101,65
101,66
101,67
101,68
101,69
102,69
102,68
102,67
102,66
102,65
97,66
97,67
97,68
97,69
98,69
98,70
99,70
99,71
100,71
101,71
102,71
100,70
101,70
102,70
99,69
91,71
90,69
87,69
84,70
77,66
75,67
72,69
70,70
69,71
45,70
46,70
47,70
48,70
49,70
50,70
51,70
52,70
53,70
54,70
